episode,episode_reward,batch_reward,epsilon
118,-126.688832785,-224.14479827,0.1
119,-238.221934904,-220.520446641,0.1
120,-147.801615085,-219.044566809,0.1
121,-357.446826319,-219.035228091,0.1
122,-199.641527857,-218.59395141,0.1
123,-228.634479682,-217.247966215,0.1
124,-114.564089478,-216.113196781,0.1
125,-71.3871758856,-212.592069191,0.1
126,-71.7633088658,-207.029625501,0.1
127,-122.51698069,-204.096930498,0.1
128,-85.7366380484,-201.726840173,0.1
129,-94.2791444652,-199.763782124,0.1
130,-65.8063745939,-194.426262214,0.1
131,-214.870116058,-193.716843019,0.1
132,-162.159642825,-191.909462816,0.1
133,-80.6742924737,-189.0587816,0.1
134,-256.521919472,-187.372824282,0.1
135,-356.748975267,-187.92510113,0.1
136,-289.547508876,-188.861333578,0.1
137,-286.586462144,-189.40994722,0.1
138,-95.9382647846,-186.800169692,0.1
139,-258.827238112,-185.538657937,0.1
140,-218.458624045,-185.880513725,0.1
141,-63.1421007368,-185.028833385,0.1
142,88.3325222215,-181.940839667,0.1
143,35.3794821429,-179.786166019,0.1
144,-153.11497335,-179.021732642,0.1
145,-78.6841531052,-176.908628269,0.1
146,-233.422185562,-177.128743267,0.1
147,-362.950430224,-177.957214188,0.1
148,-428.359226449,-180.912865781,0.1
149,-700.904059142,-186.079031693,0.1
150,15.400938429,-184.295064059,0.1
151,-53.9463338832,-182.351051063,0.1
152,-215.577995041,-181.874675565,0.1
153,-129.329832011,-180.525132234,0.1
154,-104.261441125,-179.585951676,0.1
155,-315.581483854,-178.798554515,0.1
156,-129.63538988,-173.489436694,0.1
157,-15.5648317763,-172.363496813,0.1
158,-9.31532620468,-170.897753326,0.1
159,-86.1070770771,-170.08564274,0.1
160,-157.836808212,-170.104662972,0.1
161,-100.410377423,-169.234227561,0.1
162,-165.416200673,-169.641256512,0.1
163,-21.8227915948,-168.987913444,0.1
164,-61.6872293362,-168.053475079,0.1
165,6.46742101903,-167.057211198,0.1
166,197.398404048,-163.982965046,0.1
167,-71.8371888685,-163.724767854,0.1
168,-277.09827402,-165.73279198,0.1
169,-317.321148306,-165.587046612,0.1
170,56.3449047145,-163.598656433,0.1
171,204.133275771,-160.210826727,0.1
172,35.5510956618,-158.576322784,0.1
173,73.2473479074,-157.401235658,0.1
174,-194.682325419,-157.827386715,0.1
175,36.001865271,-156.648962163,0.1
176,97.2552703732,-154.692307227,0.1
177,75.5584645292,-153.33221794,0.1
178,79.3008491389,-151.404165222,0.1
179,-422.700073859,-154.283903151,0.1
180,45.9043913258,-148.820088306,0.1
181,-140.929857279,-148.465247242,0.1
182,-70.5924027395,-146.812316485,0.1
183,-85.6033571501,-145.68723874,0.1
184,66.5629129388,-143.302044787,0.1
185,125.200391723,-141.397776198,0.1
186,159.992850017,-138.787723982,0.1
187,254.109984556,-133.824980646,0.1
188,40.5649612909,-131.60650002,0.1
189,-130.49562781,-132.399077156,0.1
190,-10.7148014323,-131.906788692,0.1
191,181.854706554,-127.4804091,0.1
192,130.740201828,-124.353100969,0.1
193,174.738998248,-122.074808811,0.1
194,53.0192799976,-117.838394956,0.1
195,223.137822589,-113.458809405,0.1
196,-33.4607969186,-113.105911836,0.1
197,94.3694850693,-111.673967927,0.1
198,274.944274952,-106.215435491,0.1
199,246.517664334,-102.061486133,0.1
200,-186.3589527,-103.361573996,0.1
